variant,mean,std,count
dense,0.9866999999999999,0.00045825756949560925,3
dfa,0.9691000000000001,0.0010816653826392702,3
dfa_sp03,0.9677666666666666,0.000665832811847934,3
dfa_sp07,0.9659999999999999,0.0010000000000000009,3
dfa_sp09,0.9479666666666667,0.0012013880860627351,3
ep,0.9816333333333334,0.000642910050732872,3
ep_sp03,0.9815333333333333,0.00020816659994666589,3
ep_sp07,0.9806333333333334,5.773502691895622e-05,3
ep_sp09,0.9693999999999999,0.00020000000000006124,3
random,0.12536666666666665,0.03512268972236229,3
readout,0.9485666666666667,0.001350308606701902,3
rmhebb,0.5166000000000001,0.038630169556966756,3
